2010-Autoroute-Inconnu-2 véhicules frontales-Blessé léger,4
2010-Autoroute-Inconnu-2 véhicules frontales-Indemne,2
2010-Autoroute-Inconnu-2 véhicules par l'arrière-Blessé hospitalisé,10
2010-Autoroute-Inconnu-2 véhicules par l'arrière-Blessé léger,52
2010-Autoroute-Inconnu-2 véhicules par l'arrière-Indemne,64
2010-Autoroute-Inconnu-2 véhicules par le côté-Blessé hospitalisé,22
2010-Autoroute-Inconnu-2 véhicules par le côté-Blessé léger,38
2010-Autoroute-Inconnu-2 véhicules par le côté-Indemne,60
2010-Autoroute-Inconnu-2 véhicules par le côté-Tué,2
2010-Autoroute-Inconnu-3+ véhicules collisions multiples-Blessé hospitalisé,4
2010-Autoroute-Inconnu-3+ véhicules collisions multiples-Blessé léger,42
2010-Autoroute-Inconnu-3+ véhicules collisions multiples-Indemne,60
2010-Autoroute-Inconnu-3+ véhicules en chaîne-Blessé hospitalisé,16
2010-Autoroute-Inconnu-3+ véhicules en chaîne-Blessé léger,21
2010-Autoroute-Inconnu-3+ véhicules en chaîne-Indemne,48
2010-Autoroute-Inconnu-Autre collision-Blessé hospitalisé,18
2010-Autoroute-Inconnu-Autre collision-Blessé léger,33
2010-Autoroute-Inconnu-Autre collision-Indemne,28
2010-Autoroute-Inconnu-Autre collision-Tué,3
2010-Autoroute-Inconnu-Sans collision-Blessé hospitalisé,13
2010-Autoroute-Inconnu-Sans collision-Blessé léger,15
2010-Autoroute-Inconnu-Sans collision-Indemne,7
2010-Autoroute-Inconnu-Sans collision-Tué,1
2010-Autoroute-Sur accotement-2 véhicules frontales-Blessé hospitalisé,18
2010-Autoroute-Sur accotement-2 véhicules frontales-Blessé léger,4
2010-Autoroute-Sur accotement-2 véhicules frontales-Indemne,8
2010-Autoroute-Sur accotement-2 véhicules par l'arrière-Blessé hospitalisé,6
2010-Autoroute-Sur accotement-2 véhicules par l'arrière-Blessé léger,8
2010-Autoroute-Sur accotement-2 véhicules par l'arrière-Indemne,28
2010-Autoroute-Sur accotement-2 véhicules par l'arrière-Tué,4
2010-Autoroute-Sur accotement-2 véhicules par le côté-Blessé hospitalisé,14
2010-Autoroute-Sur accotement-2 véhicules par le côté-Blessé léger,18
2010-Autoroute-Sur accotement-2 véhicules par le côté-Indemne,4
2010-Autoroute-Sur accotement-2 véhicules par le côté-Tué,2
2010-Autoroute-Sur accotement-3+ véhicules collisions multiples-Blessé hospitalisé,3
2010-Autoroute-Sur accotement-3+ véhicules collisions multiples-Indemne,27
2010-Autoroute-Sur accotement-3+ véhicules collisions multiples-Tué,8
2010-Autoroute-Sur accotement-3+ véhicules en chaîne-Blessé léger,9
2010-Autoroute-Sur accotement-3+ véhicules en chaîne-Indemne,15
2010-Autoroute-Sur accotement-Autre collision-Blessé hospitalisé,157
2010-Autoroute-Sur accotement-Autre collision-Blessé léger,98
2010-Autoroute-Sur accotement-Autre collision-Indemne,53
2010-Autoroute-Sur accotement-Autre collision-Tué,22
2010-Autoroute-Sur accotement-Sans collision-Blessé hospitalisé,99
2010-Autoroute-Sur accotement-Sans collision-Blessé léger,73
2010-Autoroute-Sur accotement-Sans collision-Indemne,58
2010-Autoroute-Sur accotement-Sans collision-Tué,12
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules frontales-Blessé hospitalisé,4
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules frontales-Blessé léger,4
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules frontales-Indemne,18
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules frontales-Tué,4
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par l'arrière-Blessé hospitalisé,50
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par l'arrière-Blessé léger,84
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par l'arrière-Indemne,100
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par l'arrière-Tué,8
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par le côté-Blessé hospitalisé,12
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par le côté-Blessé léger,36
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par le côté-Indemne,52
2010-Autoroute-Sur bande d’arrêt d’urgence-2 véhicules par le côté-Tué,2
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules collisions multiples-Blessé hospitalisé,22
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules collisions multiples-Blessé léger,32
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules collisions multiples-Indemne,80
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules collisions multiples-Tué,12
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules en chaîne-Blessé hospitalisé,12
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules en chaîne-Blessé léger,29
2010-Autoroute-Sur bande d’arrêt d’urgence-3+ véhicules en chaîne-Indemne,108
2010-Autoroute-Sur bande d’arrêt d’urgence-Autre collision-Blessé hospitalisé,62
2010-Autoroute-Sur bande d’arrêt d’urgence-Autre collision-Blessé léger,89
2010-Autoroute-Sur bande d’arrêt d’urgence-Autre collision-Indemne,68
2010-Autoroute-Sur bande d’arrêt d’urgence-Autre collision-Tué,9
2010-Autoroute-Sur bande d’arrêt d’urgence-Sans collision-Blessé hospitalisé,38
2010-Autoroute-Sur bande d’arrêt d’urgence-Sans collision-Blessé léger,53
2010-Autoroute-Sur bande d’arrêt d’urgence-Sans collision-Indemne,35
2010-Autoroute-Sur bande d’arrêt d’urgence-Sans collision-Tué,2
2010-Autoroute-Sur chaussée-2 véhicules frontales-Blessé hospitalisé,108
2010-Autoroute-Sur chaussée-2 véhicules frontales-Blessé léger,122
2010-Autoroute-Sur chaussée-2 véhicules frontales-Indemne,178
2010-Autoroute-Sur chaussée-2 véhicules frontales-Tué,36
2010-Autoroute-Sur chaussée-2 véhicules par l'arrière-Blessé hospitalisé,796
2010-Autoroute-Sur chaussée-2 véhicules par l'arrière-Blessé léger,2008
2010-Autoroute-Sur chaussée-2 véhicules par l'arrière-Indemne,2566
2010-Autoroute-Sur chaussée-2 véhicules par l'arrière-Tué,80
2010-Autoroute-Sur chaussée-2 véhicules par le côté-Blessé hospitalisé,488
2010-Autoroute-Sur chaussée-2 véhicules par le côté-Blessé léger,1316
2010-Autoroute-Sur chaussée-2 véhicules par le côté-Indemne,1544
2010-Autoroute-Sur chaussée-2 véhicules par le côté-Tué,22
2010-Autoroute-Sur chaussée-3+ véhicules collisions multiples-Blessé hospitalisé,777
2010-Autoroute-Sur chaussée-3+ véhicules collisions multiples-Blessé léger,1439
2010-Autoroute-Sur chaussée-3+ véhicules collisions multiples-Indemne,3709
2010-Autoroute-Sur chaussée-3+ véhicules collisions multiples-Tué,126
2010-Autoroute-Sur chaussée-3+ véhicules en chaîne-Blessé hospitalisé,813
2010-Autoroute-Sur chaussée-3+ véhicules en chaîne-Blessé léger,2044
2010-Autoroute-Sur chaussée-3+ véhicules en chaîne-Indemne,4004
2010-Autoroute-Sur chaussée-3+ véhicules en chaîne-Tué,64
2010-Autoroute-Sur chaussée-Autre collision-Blessé hospitalisé,451
2010-Autoroute-Sur chaussée-Autre collision-Blessé léger,918
2010-Autoroute-Sur chaussée-Autre collision-Indemne,790
2010-Autoroute-Sur chaussée-Autre collision-Tué,68
2010-Autoroute-Sur chaussée-Sans collision-Blessé hospitalisé,240
2010-Autoroute-Sur chaussée-Sans collision-Blessé léger,585
2010-Autoroute-Sur chaussée-Sans collision-Indemne,205
2010-Autoroute-Sur chaussée-Sans collision-Tué,24
2010-Autoroute-Sur trottoir-2 véhicules par l'arrière-Blessé léger,2
2010-Autoroute-Sur trottoir-2 véhicules par l'arrière-Indemne,2
2010-Autoroute-Sur trottoir-Autre collision-Blessé léger,1
2010-Autoroute-Sur trottoir-Sans collision-Blessé hospitalisé,1
2010-Hors réseau public-Inconnu-2 véhicules frontales-Blessé hospitalisé,4
2010-Hors réseau public-Inconnu-2 véhicules frontales-Indemne,4
2010-Hors réseau public-Inconnu-2 véhicules par l'arrière-Blessé léger,2
2010-Hors réseau public-Inconnu-2 véhicules par l'arrière-Indemne,2
