janv-72;1343;17496
févr-72;1140;17626
mars-72;1335;17891
avr-72;1281;17888
mai-72;1460;17884
juin-72;1466;17920
juil-72;1761;17815
août-72;1537;17656
sept-72;1585;17674
oct-72;1726;17660
nov-72;1500;17635
déc-72;1553;17687
janv-73;1308;17652
févr-73;1072;17585
mars-73;1188;17438
avr-73;1447;17604
mai-73;1395;17539
juin-73;1393;17466
juil-73;1470;17270
août-73;1484;17233
sept-73;1616;17266
oct-73;1482;17025
nov-73;1490;17022
déc-73;1248;16715
janv-74;1189;16411
févr-74;812;16164
mars-74;992;15979
avr-74;1035;15574
mai-74;1103;15294
juin-74;1328;15248
juil-74;1416;15195
août-74;1366;15077
sept-74;1335;14796
oct-74;1233;14547
nov-74;1239;14296
déc-74;1401;14450
janv-75;1270;14531
févr-75;842;14561
mars-75;1031;14599
avr-75;925;14489
mai-75;1090;14476
juin-75;1229;14378
juil-75;1503;14465
août-75;1355;14454
sept-75;1214;14333
oct-75;1283;14383
nov-75;1187;14331
déc-75;1149;14079
janv-76;1237;14046
févr-76;904;14108
mars-76;970;14047
avr-76;1012;14134
mai-76;1238;14282
juin-76;1369;14422
juil-76;1631;14550
août-76;1431;14626
sept-76;1279;14690
oct-76;1354;14762
nov-76;1195;14770
déc-76;1117;14738
janv-77;1181;14683
févr-77;859;14638
mars-77;986;14654
avr-77;977;14619
mai-77;1173;14553
juin-77;1098;14282
juil-77;1460;14111
août-77;1168;13848
sept-77;1155;13724
oct-77;1415;13785
nov-77;1245;13835
déc-77;1290;14008
janv-78;1273;14100
févr-78;763;14004
mars-78;981;14000
avr-78;916;13939
mai-78;988;13754
juin-78;1204;13860
juil-78;1273;13673
août-78;1014;13519
sept-78;1064;13428
oct-78;1234;13246
nov-78;1116;13117
déc-78;1148;12974
janv-79;1024;12725
févr-79;856;12818
mars-79;973;12810
avr-79;1028;12922
mai-79;1073;13008
juin-79;1157;12961
juil-79;1399;13087
août-79;1199;13272
sept-79;1085;13293
oct-79;1203;13262
nov-79;1206;13352
déc-79;1137;13341
janv-80;1155;13472
févr-80;814;13429
mars-80;948;13404
avr-80;957;13333
mai-80;1098;13357
juin-80;1171;13371
juil-80;1279;13250
août-80;1295;13345
sept-80;1155;13415
oct-80;1267;13479
nov-80;1166;13439
déc-80;1106;13408
janv-81;1142;13396
févr-81;771;13353
mars-81;941;13345
avr-81;897;13286
mai-81;1083;13271
juin-81;1083;13183
juil-81;1320;13225
août-81;1348;13278
sept-81;1113;13236
oct-81;1328;13297
nov-81;1103;13234
déc-81;1158;13286
janv-82;1098;13242
févr-82;821;13292
mars-82;916;13267
avr-82;970;13340
mai-82;1133;13390
juin-82;1135;13443
juil-82;1490;13613
août-82;1070;13335
sept-82;1071;13293
oct-82;1223;13188
nov-82;1082;13167
déc-82;1257;13266
janv-83;1147;13315
févr-83;716;13211
mars-83;847;13141
avr-83;916;13088
mai-83;959;12914
juin-83;1073;12852
juil-83;1412;12773
août-83;1117;12821
sept-83;1178;12927
oct-83;1188;12892
nov-83;1075;12886
déc-83;1142;12770
janv-84;1159;12782
févr-84;793;12859
mars-84;877;12889
avr-84;862;12834
mai-84;942;12817
juin-84;1078;12822
juil-84;1234;12643
août-84;1038;12564
sept-84;1086;12472
oct-84;1132;12416
nov-84;1134;12475
déc-84;1158;12491
janv-85;641;11974
févr-85;653;11834
mars-85;771;11728
avr-85;755;11621
mai-85;931;11610
juin-85;1059;11592
juil-85;1167;11526
août-85;1178;11666
sept-85;1019;11599
oct-85;1062;11528
nov-85;967;11361
déc-85;964;11168
janv-86;883;11409
févr-86;616;11372
mars-86;788;11389
avr-86;794;11429
mai-86;930;11428
juin-86;1053;11421
juil-86;1129;11383
août-86;1219;11423
sept-86;1003;11407
oct-86;1193;11539
nov-86;1028;11600
déc-86;1082;11717
janv-87;699;11533
févr-87;629;11546
mars-87;778;11537
avr-87;762;11505
mai-87;814;11388
juin-87;905;11241
juil-87;1014;11126
août-87;1003;10910
sept-87;964;10872
oct-87;946;10625
nov-87;1009;10606
déc-87;1011;10535
janv-88;913;10749
févr-88;799;10919
mars-88;822;10963
avr-88;864;11064
mai-88;974;11225
juin-88;973;11292
juil-88;1163;11440
août-88;971;11408
sept-88;916;11360
oct-88;1009;11423
nov-88;901;11315
déc-88;972;11276
janv-89;863;11226
févr-89;728;11155
mars-89;841;11174
avr-89;825;11136
mai-89;855;11017
juin-89;918;10963
juil-89;1116;10916
août-89;977;10922
sept-89;1005;11011
oct-89;1033;11034
nov-89;1050;11183
déc-89;1043;11254
janv-90;942;11334
févr-90;779;11385
mars-90;815;11358
avr-90;881;11414
mai-90;843;11402
juin-90;975;11459
juil-90;1066;11408
août-90;1007;11438
sept-90;942;11375
oct-90;1009;11352
nov-90;950;11252
déc-90;790;10999
janv-91;788;10845
févr-91;611;10677
mars-91;730;10593
avr-91;725;10437
mai-91;815;10408
juin-91;893;10325
juil-91;1033;10292
août-91;1075;10361
sept-91;957;10376
oct-91;885;10252
nov-91;897;10198
déc-91;872;10281
janv-92;783;10275
févr-92;695;10359
mars-92;717;10346
avr-92;779;10400
mai-92;815;10400
juin-92;830;10337
juil-92;936;10241
août-92;845;10010
sept-92;818;9871
