Num_Acc,lum,col,weekday
201600000001,plein jour,Deux véhicules - par le côté,lundi
201600000001,plein jour,Deux véhicules - par le côté,lundi
201600000002,plein jour,Autre collision,mercredi
201600000002,plein jour,Autre collision,mercredi
201600000002,plein jour,Autre collision,mercredi
201600000003,plein jour,Autre collision,mercredi
201600000003,plein jour,Autre collision,mercredi
201600000004,crepuscule ou aube,Deux véhicules - par le côté,lundi
201600000004,crepuscule ou aube,Deux véhicules - par le côté,lundi
201600000004,crepuscule ou aube,Deux véhicules - par le côté,lundi
201600000005,plein jour,Deux véhicules - par le côté,vendredi
201600000005,plein jour,Deux véhicules - par le côté,vendredi
201600000005,plein jour,Deux véhicules - par le côté,vendredi
201600000006,plein jour,Autre collision,vendredi
201600000006,plein jour,Autre collision,vendredi
201600000007,plein jour,Deux véhicules - par l'arrière,dimanche
201600000007,plein jour,Deux véhicules - par l'arrière,dimanche
201600000007,plein jour,Deux véhicules - par l'arrière,dimanche
201600000008,crepuscule ou aube,Deux véhicules - frontale,samedi
201600000008,crepuscule ou aube,Deux véhicules - frontale,samedi
201600000008,crepuscule ou aube,Deux véhicules - frontale,samedi
201600000009,plein jour,Deux véhicules - par le côté,vendredi
201600000009,plein jour,Deux véhicules - par le côté,vendredi
201600000010,plein jour,Autre collision,vendredi
201600000010,plein jour,Autre collision,vendredi
201600000011,crepuscule ou aube,Autre collision,lundi
201600000011,crepuscule ou aube,Autre collision,lundi
201600000012,nuit sans éclairage public,Sans collision,jeudi
201600000013,plein jour,Autre collision,vendredi
201600000013,plein jour,Autre collision,vendredi
201600000014,plein jour,Trois véhicules et plus - collisions multiples,dimanche
201600000014,plein jour,Trois véhicules et plus - collisions multiples,dimanche
201600000014,plein jour,Trois véhicules et plus - collisions multiples,dimanche
201600000015,plein jour,Trois véhicules et plus - collisions multiples,mercredi
201600000015,plein jour,Trois véhicules et plus - collisions multiples,mercredi
201600000015,plein jour,Trois véhicules et plus - collisions multiples,mercredi
201600000016,plein jour,Trois véhicules et plus - collisions multiples,jeudi
201600000016,plein jour,Trois véhicules et plus - collisions multiples,jeudi
201600000016,plein jour,Trois véhicules et plus - collisions multiples,jeudi
201600000017,nuit sans éclairage public,Autre collision,mardi
201600000018,crepuscule ou aube,Deux véhicules - par le côté,lundi
201600000018,crepuscule ou aube,Deux véhicules - par le côté,lundi
201600000019,plein jour,Trois véhicules et plus - collisions multiples,vendredi
201600000019,plein jour,Trois véhicules et plus - collisions multiples,vendredi
201600000019,plein jour,Trois véhicules et plus - collisions multiples,vendredi
201600000019,plein jour,Trois véhicules et plus - collisions multiples,vendredi
201600000019,plein jour,Trois véhicules et plus - collisions multiples,vendredi
201600000019,plein jour,Trois véhicules et plus - collisions multiples,vendredi
201600000020,nuit avec eclairage public allume,Deux véhicules - par le côté,lundi
201600000020,nuit avec eclairage public allume,Deux véhicules - par le côté,lundi
201600000021,plein jour,Autre collision,vendredi
201600000021,plein jour,Autre collision,vendredi
201600000022,plein jour,Deux véhicules - par le côté,samedi
201600000022,plein jour,Deux véhicules - par le côté,samedi
201600000022,plein jour,Deux véhicules - par le côté,samedi
201600000023,plein jour,Autre collision,lundi
201600000024,nuit sans éclairage public,Autre collision,samedi
201600000024,nuit sans éclairage public,Autre collision,samedi
201600000025,nuit sans éclairage public,Sans collision,dimanche
201600000026,plein jour,Autre collision,mardi
201600000026,plein jour,Autre collision,mardi
201600000027,plein jour,Autre collision,jeudi
201600000027,plein jour,Autre collision,jeudi
201600000028,nuit sans éclairage public,Deux véhicules - par le côté,vendredi
201600000028,nuit sans éclairage public,Deux véhicules - par le côté,vendredi
201600000029,nuit sans éclairage public,Deux véhicules - frontale,mercredi
201600000029,nuit sans éclairage public,Deux véhicules - frontale,mercredi
201600000029,nuit sans éclairage public,Deux véhicules - frontale,mercredi
201600000029,nuit sans éclairage public,Deux véhicules - frontale,mercredi
201600000029,nuit sans éclairage public,Deux véhicules - frontale,mercredi
201600000029,nuit sans éclairage public,Deux véhicules - frontale,mercredi
201600000030,plein jour,Autre collision,vendredi
201600000030,plein jour,Autre collision,vendredi
201600000031,plein jour,Deux véhicules - par l'arrière,mercredi
201600000031,plein jour,Deux véhicules - par l'arrière,mercredi
201600000032,plein jour,Deux véhicules - par l'arrière,mardi
201600000032,plein jour,Deux véhicules - par l'arrière,mardi
201600000033,plein jour,Autre collision,jeudi
201600000033,plein jour,Autre collision,jeudi
201600000034,plein jour,Deux véhicules - frontale,jeudi
201600000034,plein jour,Deux véhicules - frontale,jeudi
201600000035,nuit avec eclairage public allume,Autre collision,mardi
201600000036,nuit sans éclairage public,Deux véhicules - frontale,lundi
