Num_Acc,col,grav
201600000001,Deux véhicules - par le côté,Indemne
201600000001,Deux véhicules - par le côté,Blessé hospitalisé
201600000002,Autre collision,Blessé hospitalisé
201600000002,Autre collision,Blessé hospitalisé
201600000002,Autre collision,Blessé hospitalisé
201600000003,Autre collision,Indemne
201600000003,Autre collision,Blessé hospitalisé
201600000004,Deux véhicules - par le côté,Blessé hospitalisé
201600000004,Deux véhicules - par le côté,Blessé léger
201600000004,Deux véhicules - par le côté,Indemne
201600000005,Deux véhicules - par le côté,Blessé hospitalisé
201600000005,Deux véhicules - par le côté,Blessé hospitalisé
201600000005,Deux véhicules - par le côté,Indemne
201600000006,Autre collision,Indemne
201600000006,Autre collision,Blessé hospitalisé
201600000007,Deux véhicules - par l'arrière,Indemne
201600000007,Deux véhicules - par l'arrière,Blessé léger
201600000007,Deux véhicules - par l'arrière,Indemne
201600000008,Deux véhicules - frontale,Indemne
201600000008,Deux véhicules - frontale,Indemne
201600000008,Deux véhicules - frontale,Blessé hospitalisé
201600000009,Deux véhicules - par le côté,Indemne
201600000009,Deux véhicules - par le côté,Blessé hospitalisé
201600000010,Autre collision,Indemne
201600000010,Autre collision,Blessé hospitalisé
201600000011,Autre collision,Indemne
201600000011,Autre collision,Blessé hospitalisé
201600000012,Sans collision,Blessé hospitalisé
201600000013,Autre collision,Indemne
201600000013,Autre collision,Blessé hospitalisé
201600000014,Trois véhicules et plus - collisions multiples,Tué
201600000014,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000014,Trois véhicules et plus - collisions multiples,Indemne
201600000015,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000015,Trois véhicules et plus - collisions multiples,Indemne
201600000015,Trois véhicules et plus - collisions multiples,Indemne
201600000016,Trois véhicules et plus - collisions multiples,Indemne
201600000016,Trois véhicules et plus - collisions multiples,Indemne
201600000016,Trois véhicules et plus - collisions multiples,Blessé léger
201600000017,Autre collision,Blessé hospitalisé
201600000018,Deux véhicules - par le côté,Indemne
201600000018,Deux véhicules - par le côté,Blessé hospitalisé
201600000019,Trois véhicules et plus - collisions multiples,Indemne
201600000019,Trois véhicules et plus - collisions multiples,Indemne
201600000019,Trois véhicules et plus - collisions multiples,Indemne
201600000019,Trois véhicules et plus - collisions multiples,Blessé hospitalisé
201600000019,Trois véhicules et plus - collisions multiples,Blessé léger
201600000019,Trois véhicules et plus - collisions multiples,Blessé léger
201600000020,Deux véhicules - par le côté,Blessé hospitalisé
201600000020,Deux véhicules - par le côté,Indemne
201600000021,Autre collision,Blessé hospitalisé
201600000021,Autre collision,Blessé léger
201600000022,Deux véhicules - par le côté,Indemne
201600000022,Deux véhicules - par le côté,Indemne
201600000022,Deux véhicules - par le côté,Tué
201600000023,Autre collision,Tué
201600000024,Autre collision,Indemne
201600000024,Autre collision,Blessé hospitalisé
201600000025,Sans collision,Tué
201600000026,Autre collision,Indemne
201600000026,Autre collision,Blessé hospitalisé
201600000027,Autre collision,Indemne
201600000027,Autre collision,Blessé hospitalisé
201600000028,Deux véhicules - par le côté,Blessé hospitalisé
201600000028,Deux véhicules - par le côté,Indemne
201600000029,Deux véhicules - frontale,Blessé hospitalisé
201600000029,Deux véhicules - frontale,Indemne
201600000029,Deux véhicules - frontale,Indemne
201600000029,Deux véhicules - frontale,Indemne
201600000029,Deux véhicules - frontale,Indemne
201600000029,Deux véhicules - frontale,Indemne
201600000030,Autre collision,Blessé hospitalisé
201600000030,Autre collision,Blessé léger
201600000031,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000031,Deux véhicules - par l'arrière,Indemne
201600000032,Deux véhicules - par l'arrière,Indemne
201600000032,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000033,Autre collision,Indemne
201600000033,Autre collision,Blessé hospitalisé
201600000034,Deux véhicules - frontale,Blessé hospitalisé
201600000034,Deux véhicules - frontale,Blessé hospitalisé
201600000035,Autre collision,Blessé hospitalisé
201600000036,Deux véhicules - frontale,Blessé hospitalisé
201600000036,Deux véhicules - frontale,Indemne
201600000037,Autre collision,Blessé hospitalisé
201600000038,Deux véhicules - par le côté,Indemne
201600000038,Deux véhicules - par le côté,Indemne
201600000038,Deux véhicules - par le côté,Blessé hospitalisé
201600000039,Autre collision,Blessé hospitalisé
201600000039,Autre collision,Blessé hospitalisé
201600000040,Autre collision,Blessé hospitalisé
201600000041,Deux véhicules - par le côté,Blessé hospitalisé
201600000041,Deux véhicules - par le côté,Indemne
201600000042,Autre collision,Blessé hospitalisé
201600000043,Autre collision,Blessé hospitalisé
201600000044,Autre collision,Indemne
201600000044,Autre collision,Blessé hospitalisé
201600000045,Autre collision,Indemne
201600000045,Autre collision,Blessé hospitalisé
201600000046,Autre collision,Indemne
201600000046,Autre collision,Blessé hospitalisé
201600000047,Deux véhicules - par le côté,Blessé hospitalisé
201600000047,Deux véhicules - par le côté,Indemne
201600000048,Sans collision,Blessé hospitalisé
201600000049,Sans collision,Blessé hospitalisé
201600000050,Deux véhicules - par le côté,Indemne
201600000050,Deux véhicules - par le côté,Blessé léger
201600000051,Deux véhicules - frontale,Blessé hospitalisé
201600000051,Deux véhicules - frontale,Indemne
201600000052,Deux véhicules - par le côté,Indemne
201600000052,Deux véhicules - par le côté,Blessé hospitalisé
201600000053,Sans collision,Blessé hospitalisé
201600000054,Deux véhicules - frontale,Blessé hospitalisé
201600000054,Deux véhicules - frontale,Blessé hospitalisé
201600000054,Deux véhicules - frontale,Blessé hospitalisé
201600000055,Sans collision,Blessé hospitalisé
201600000056,Autre collision,Tué
201600000056,Autre collision,Blessé hospitalisé
201600000057,Deux véhicules - frontale,Indemne
201600000057,Deux véhicules - frontale,Blessé hospitalisé
201600000057,Deux véhicules - frontale,Indemne
201600000058,Autre collision,Tué
201600000059,Autre collision,Blessé hospitalisé
201600000060,Deux véhicules - par le côté,Blessé hospitalisé
201600000060,Deux véhicules - par le côté,Indemne
201600000061,Autre collision,Indemne
201600000061,Autre collision,Blessé hospitalisé
201600000062,Autre collision,Indemne
201600000062,Autre collision,Blessé hospitalisé
201600000063,Deux véhicules - par le côté,Indemne
201600000063,Deux véhicules - par le côté,Blessé hospitalisé
201600000063,Deux véhicules - par le côté,Blessé hospitalisé
201600000063,Deux véhicules - par le côté,Indemne
201600000063,Deux véhicules - par le côté,Blessé hospitalisé
201600000064,Sans collision,Blessé hospitalisé
201600000065,Autre collision,Blessé hospitalisé
201600000066,Deux véhicules - frontale,Blessé hospitalisé
201600000066,Deux véhicules - frontale,Tué
201600000067,Deux véhicules - par l'arrière,Indemne
201600000067,Deux véhicules - par l'arrière,Blessé hospitalisé
201600000068,Deux véhicules - par le côté,Blessé hospitalisé
201600000068,Deux véhicules - par le côté,Indemne
201600000069,Autre collision,Indemne
201600000069,Autre collision,Tué
201600000070,Deux véhicules - par le côté,Indemne
201600000070,Deux véhicules - par le côté,Blessé hospitalisé
201600000071,Deux véhicules - frontale,Indemne
201600000071,Deux véhicules - frontale,Blessé hospitalisé
201600000072,Autre collision,Indemne
