Num_Acc,catr,grav
201600000001,Route départementale,Indemne
201600000001,Route départementale,Blessé hospitalisé
201600000002,Route départementale,Blessé hospitalisé
201600000002,Route départementale,Blessé hospitalisé
201600000002,Route départementale,Blessé hospitalisé
201600000003,Route départementale,Indemne
201600000003,Route départementale,Blessé hospitalisé
201600000004,Voie communale,Blessé hospitalisé
201600000004,Voie communale,Blessé léger
201600000004,Voie communale,Indemne
201600000005,Voie communale,Blessé hospitalisé
201600000005,Voie communale,Blessé hospitalisé
201600000005,Voie communale,Indemne
201600000006,Route départementale,Indemne
201600000006,Route départementale,Blessé hospitalisé
201600000007,Route départementale,Indemne
201600000007,Route départementale,Blessé léger
201600000007,Route départementale,Indemne
201600000008,Route départementale,Indemne
201600000008,Route départementale,Indemne
201600000008,Route départementale,Blessé hospitalisé
201600000009,Voie communale,Indemne
201600000009,Voie communale,Blessé hospitalisé
201600000010,Voie communale,Indemne
201600000010,Voie communale,Blessé hospitalisé
201600000011,Route départementale,Indemne
201600000011,Route départementale,Blessé hospitalisé
201600000012,Route départementale,Blessé hospitalisé
201600000013,Route départementale,Indemne
201600000013,Route départementale,Blessé hospitalisé
201600000014,Route départementale,Tué
201600000014,Route départementale,Blessé hospitalisé
201600000014,Route départementale,Indemne
201600000015,Route départementale,Blessé hospitalisé
201600000015,Route départementale,Indemne
201600000015,Route départementale,Indemne
201600000016,Voie communale,Indemne
201600000016,Voie communale,Indemne
201600000016,Voie communale,Blessé léger
201600000017,Route départementale,Blessé hospitalisé
201600000018,Route départementale,Indemne
201600000018,Route départementale,Blessé hospitalisé
201600000019,Route départementale,Indemne
201600000019,Route départementale,Indemne
201600000019,Route départementale,Indemne
201600000019,Route départementale,Blessé hospitalisé
201600000019,Route départementale,Blessé léger
201600000019,Route départementale,Blessé léger
201600000020,Route départementale,Blessé hospitalisé
201600000020,Route départementale,Indemne
201600000021,Route départementale,Blessé hospitalisé
201600000021,Route départementale,Blessé léger
201600000022,Route départementale,Indemne
201600000022,Route départementale,Indemne
201600000022,Route départementale,Tué
201600000023,Route départementale,Tué
201600000024,Route départementale,Indemne
201600000024,Route départementale,Blessé hospitalisé
201600000025,Voie communale,Tué
201600000026,Voie communale,Indemne
201600000026,Voie communale,Blessé hospitalisé
201600000027,Autre,Indemne
201600000027,Autre,Blessé hospitalisé
201600000028,Route départementale,Blessé hospitalisé
201600000028,Route départementale,Indemne
201600000029,Route départementale,Blessé hospitalisé
201600000029,Route départementale,Indemne
201600000029,Route départementale,Indemne
201600000029,Route départementale,Indemne
201600000029,Route départementale,Indemne
201600000029,Route départementale,Indemne
201600000030,Route départementale,Blessé hospitalisé
201600000030,Route départementale,Blessé léger
201600000031,Route départementale,Blessé hospitalisé
201600000031,Route départementale,Indemne
201600000032,Route départementale,Indemne
201600000032,Route départementale,Blessé hospitalisé
201600000033,Route départementale,Indemne
201600000033,Route départementale,Blessé hospitalisé
201600000034,Route départementale,Blessé hospitalisé
201600000034,Route départementale,Blessé hospitalisé
201600000035,Route départementale,Blessé hospitalisé
201600000036,Route départementale,Blessé hospitalisé
201600000036,Route départementale,Indemne
201600000037,Route départementale,Blessé hospitalisé
201600000038,Route départementale,Indemne
201600000038,Route départementale,Indemne
201600000038,Route départementale,Blessé hospitalisé
201600000039,Route départementale,Blessé hospitalisé
201600000039,Route départementale,Blessé hospitalisé
201600000040,Route départementale,Blessé hospitalisé
201600000041,Route départementale,Blessé hospitalisé
201600000041,Route départementale,Indemne
201600000042,Route départementale,Blessé hospitalisé
201600000043,Route départementale,Blessé hospitalisé
201600000044,Route départementale,Indemne
201600000044,Route départementale,Blessé hospitalisé
201600000045,Route départementale,Indemne
201600000045,Route départementale,Blessé hospitalisé
