Num_Acc,catu,grav,sexe
201600000001,Conducteur,Indemne,Féminin
201600000001,Conducteur,Blessé hospitalisé,Masculin
201600000002,Conducteur,Blessé hospitalisé,Masculin
201600000002,Passager,Blessé hospitalisé,Masculin
201600000002,Passager,Blessé hospitalisé,Féminin
201600000003,Conducteur,Indemne,Masculin
201600000003,Piéton,Blessé hospitalisé,Masculin
201600000004,Conducteur,Blessé hospitalisé,Masculin
201600000004,Passager,Blessé léger,Masculin
201600000004,Conducteur,Indemne,Féminin
201600000005,Conducteur,Blessé hospitalisé,Féminin
201600000005,Passager,Blessé hospitalisé,Féminin
201600000005,Conducteur,Indemne,Masculin
201600000006,Conducteur,Indemne,Masculin
201600000006,Piéton,Blessé hospitalisé,Féminin
201600000007,Conducteur,Indemne,Masculin
201600000007,Passager,Blessé léger,Masculin
201600000007,Conducteur,Indemne,Masculin
201600000008,Conducteur,Indemne,Féminin
201600000008,Passager,Indemne,Masculin
201600000008,Conducteur,Blessé hospitalisé,Masculin
201600000009,Conducteur,Indemne,Masculin
201600000009,Conducteur,Blessé hospitalisé,Masculin
201600000010,Conducteur,Indemne,Masculin
201600000010,Piéton,Blessé hospitalisé,Masculin
201600000011,Conducteur,Indemne,Masculin
201600000011,Piéton,Blessé hospitalisé,Féminin
201600000012,Conducteur,Blessé hospitalisé,Masculin
201600000013,Conducteur,Indemne,Féminin
201600000013,Piéton,Blessé hospitalisé,Masculin
201600000014,Conducteur,Tué,Masculin
201600000014,Conducteur,Blessé hospitalisé,Masculin
201600000014,Conducteur,Indemne,Masculin
201600000015,Conducteur,Blessé hospitalisé,Masculin
201600000015,Conducteur,Indemne,Masculin
201600000015,Conducteur,Indemne,Masculin
201600000016,Conducteur,Indemne,Féminin
201600000016,Conducteur,Indemne,Masculin
201600000016,Conducteur,Blessé léger,Masculin
201600000017,Conducteur,Blessé hospitalisé,Féminin
201600000018,Conducteur,Indemne,Masculin
201600000018,Conducteur,Blessé hospitalisé,Féminin
201600000019,Conducteur,Indemne,Masculin
201600000019,Conducteur,Indemne,Masculin
201600000019,Conducteur,Indemne,Masculin
201600000019,Passager,Blessé hospitalisé,Féminin
201600000019,Passager,Blessé léger,Féminin
201600000019,Passager,Blessé léger,Féminin
201600000020,Conducteur,Blessé hospitalisé,Masculin
201600000020,Conducteur,Indemne,Masculin
201600000021,Piéton,Blessé hospitalisé,Féminin
201600000021,Conducteur,Blessé léger,Féminin
201600000022,Conducteur,Indemne,Masculin
201600000022,Passager,Indemne,Féminin
201600000022,Conducteur,Tué,Masculin
201600000023,Conducteur,Tué,Masculin
201600000024,Conducteur,Indemne,Masculin
201600000024,Passager,Blessé hospitalisé,Masculin
201600000025,Conducteur,Tué,Masculin
201600000026,Conducteur,Indemne,Féminin
201600000026,Piéton,Blessé hospitalisé,Féminin
201600000027,Conducteur,Indemne,Masculin
201600000027,Piéton,Blessé hospitalisé,Féminin
201600000028,Conducteur,Blessé hospitalisé,Masculin
201600000028,Conducteur,Indemne,Masculin
201600000029,Conducteur,Blessé hospitalisé,Masculin
201600000029,Conducteur,Indemne,Masculin
201600000029,Passager,Indemne,Féminin
201600000029,Passager,Indemne,Masculin
201600000029,Passager,Indemne,Masculin
201600000029,Passager,Indemne,Masculin
201600000030,Piéton,Blessé hospitalisé,Féminin
201600000030,Conducteur,Blessé léger,Masculin
201600000031,Conducteur,Blessé hospitalisé,Masculin
201600000031,Conducteur,Indemne,Masculin
201600000032,Conducteur,Indemne,Féminin
201600000032,Conducteur,Blessé hospitalisé,Masculin
201600000033,Conducteur,Indemne,Féminin
201600000033,Piéton,Blessé hospitalisé,Féminin
201600000034,Conducteur,Blessé hospitalisé,Masculin
201600000034,Conducteur,Blessé hospitalisé,Masculin
201600000035,Conducteur,Blessé hospitalisé,Masculin
201600000036,Conducteur,Blessé hospitalisé,Féminin
201600000036,Conducteur,Indemne,Masculin
201600000037,Conducteur,Blessé hospitalisé,Masculin
201600000038,Conducteur,Indemne,Masculin
201600000038,Passager,Indemne,Féminin
201600000038,Conducteur,Blessé hospitalisé,Masculin
201600000039,Conducteur,Blessé hospitalisé,Masculin
201600000039,Passager,Blessé hospitalisé,Masculin
201600000040,Conducteur,Blessé hospitalisé,Féminin
201600000041,Conducteur,Blessé hospitalisé,Féminin
201600000041,Conducteur,Indemne,Féminin
201600000042,Conducteur,Blessé hospitalisé,Masculin
201600000043,Conducteur,Blessé hospitalisé,Masculin
201600000044,Conducteur,Indemne,Masculin
201600000044,Passager,Blessé hospitalisé,Masculin
201600000045,Conducteur,Indemne,Masculin
201600000045,Piéton,Blessé hospitalisé,Féminin
201600000046,Conducteur,Indemne,Masculin
201600000046,Passager,Blessé hospitalisé,Masculin
201600000047,Conducteur,Blessé hospitalisé,Masculin
201600000047,Conducteur,Indemne,Masculin
201600000048,Conducteur,Blessé hospitalisé,Masculin
201600000049,Conducteur,Blessé hospitalisé,Masculin
201600000050,Conducteur,Indemne,Masculin
201600000050,Conducteur,Blessé léger,Masculin
201600000051,Conducteur,Blessé hospitalisé,Féminin
201600000051,Conducteur,Indemne,Masculin
201600000052,Conducteur,Indemne,Féminin
201600000052,Conducteur,Blessé hospitalisé,Masculin
201600000053,Conducteur,Blessé hospitalisé,Masculin
201600000054,Conducteur,Blessé hospitalisé,Féminin
201600000054,Conducteur,Blessé hospitalisé,Masculin
201600000054,Passager,Blessé hospitalisé,Féminin
201600000055,Conducteur,Blessé hospitalisé,Masculin
201600000056,Piéton,Tué,Masculin
201600000056,Conducteur,Blessé hospitalisé,Masculin
201600000057,Conducteur,Indemne,Masculin
201600000057,Piéton,Blessé hospitalisé,Masculin
201600000057,Conducteur,Indemne,Masculin
201600000058,Conducteur,Tué,Féminin
201600000059,Conducteur,Blessé hospitalisé,Masculin
201600000060,Conducteur,Blessé hospitalisé,Masculin
201600000060,Conducteur,Indemne,Masculin
201600000061,Conducteur,Indemne,Masculin
201600000061,Piéton,Blessé hospitalisé,Féminin
201600000062,Conducteur,Indemne,Féminin
201600000062,Conducteur,Blessé hospitalisé,Masculin
201600000063,Conducteur,Indemne,Féminin
201600000063,Passager,Blessé hospitalisé,Masculin
201600000063,Passager,Blessé hospitalisé,Féminin
201600000063,Passager,Indemne,Masculin
201600000063,Conducteur,Blessé hospitalisé,Féminin
201600000064,Conducteur,Blessé hospitalisé,Masculin
201600000065,Conducteur,Blessé hospitalisé,Féminin
201600000066,Conducteur,Blessé hospitalisé,Masculin
201600000066,Conducteur,Tué,Féminin
201600000067,Conducteur,Indemne,Masculin
201600000067,Conducteur,Blessé hospitalisé,Masculin
201600000068,Conducteur,Blessé hospitalisé,Masculin
201600000068,Conducteur,Indemne,Masculin
201600000069,Conducteur,Indemne,Masculin
201600000069,Piéton,Tué,Masculin
201600000070,Conducteur,Indemne,Masculin
201600000070,Conducteur,Blessé hospitalisé,Féminin
201600000071,Conducteur,Indemne,Masculin
201600000071,Conducteur,Blessé hospitalisé,Féminin
201600000072,Conducteur,Indemne,Masculin
201600000072,Passager,Indemne,Féminin
201600000072,Piéton,Blessé hospitalisé,Masculin
201600000073,Conducteur,Indemne,Féminin
201600000073,Passager,Blessé hospitalisé,Féminin
201600000073,Conducteur,Indemne,Féminin
201600000074,Conducteur,Tué,Masculin
201600000075,Conducteur,Blessé hospitalisé,Masculin
201600000075,Conducteur,Blessé léger,Masculin
201600000076,Conducteur,Indemne,Féminin
201600000076,Conducteur,Blessé hospitalisé,Masculin
201600000077,Conducteur,Blessé hospitalisé,Masculin
201600000077,Conducteur,Indemne,Masculin
201600000078,Passager,Tué,Masculin
201600000078,Passager,Blessé hospitalisé,Masculin
201600000078,Conducteur,Blessé léger,Masculin
201600000078,Passager,Blessé léger,Masculin
201600000078,Passager,Blessé léger,Masculin
201600000079,Conducteur,Blessé hospitalisé,Masculin
201600000080,Conducteur,Indemne,Masculin
201600000080,Passager,Indemne,Féminin
201600000080,Piéton,Blessé hospitalisé,Masculin
201600000081,Conducteur,Indemne,Masculin
201600000081,Conducteur,Blessé hospitalisé,Masculin
201600000082,Conducteur,Blessé hospitalisé,Masculin
201600000082,Conducteur,Indemne,Masculin
201600000082,Conducteur,Indemne,Masculin
201600000083,Conducteur,Blessé hospitalisé,Masculin
201600000083,Conducteur,Indemne,Masculin
201600000084,Conducteur,Indemne,Féminin
201600000084,Conducteur,Blessé léger,Masculin
201600000085,Conducteur,Blessé hospitalisé,Masculin
201600000086,Conducteur,Blessé hospitalisé,Masculin
201600000087,Conducteur,Indemne,Masculin
201600000087,Conducteur,Blessé hospitalisé,Féminin
201600000088,Conducteur,Indemne,Féminin
201600000088,Conducteur,Blessé hospitalisé,Masculin
201600000088,Passager,Blessé hospitalisé,Féminin
201600000089,Conducteur,Indemne,Masculin
201600000089,Conducteur,Blessé hospitalisé,Masculin
201600000090,Conducteur,Blessé hospitalisé,Masculin
201600000091,Conducteur,Blessé hospitalisé,Masculin
201600000092,Passager,Blessé hospitalisé,Féminin
201600000092,Conducteur,Blessé léger,Féminin
201600000093,Conducteur,Tué,Masculin
201600000094,Conducteur,Blessé hospitalisé,Masculin
201600000094,Conducteur,Indemne,Masculin
201600000095,Conducteur,Indemne,Féminin
201600000095,Passager,Indemne,Masculin
201600000095,Passager,Tué,Féminin
201600000095,Conducteur,Blessé hospitalisé,Masculin
201600000096,Conducteur,Indemne,Masculin
201600000096,Passager,Blessé hospitalisé,Féminin
201600000096,Passager,Blessé hospitalisé,Féminin
201600000096,Conducteur,Indemne,Féminin
201600000097,Conducteur,Indemne,Féminin
201600000097,Piéton,Blessé hospitalisé,Masculin
201600000098,Conducteur,Indemne,Masculin
201600000098,Passager,Blessé hospitalisé,Féminin
201600000098,Conducteur,Indemne,Féminin
201600000099,Conducteur,Tué,Masculin
201600000099,Passager,Tué,Féminin
201600000100,Piéton,Blessé léger,Masculin
201600000101,Conducteur,Blessé léger,Masculin
201600000101,Conducteur,Blessé léger,Féminin
201600000101,Conducteur,Blessé léger,Masculin
201600000102,Conducteur,Blessé hospitalisé,Masculin
201600000102,Conducteur,Indemne,Féminin
201600000103,Conducteur,Blessé hospitalisé,Masculin
201600000104,Conducteur,Indemne,Féminin
201600000104,Conducteur,Blessé hospitalisé,Masculin
201600000105,Conducteur,Blessé hospitalisé,Masculin
201600000106,Conducteur,Indemne,Féminin
201600000106,Piéton,Blessé hospitalisé,Masculin
201600000107,Conducteur,Indemne,Masculin
201600000107,Passager,Blessé hospitalisé,Masculin
201600000108,Conducteur,Blessé hospitalisé,Masculin
201600000108,Passager,Blessé hospitalisé,Féminin
201600000108,Conducteur,Indemne,Féminin
201600000109,Passager,Indemne,Féminin
201600000109,Conducteur,Blessé hospitalisé,Masculin
201600000109,Conducteur,Indemne,Féminin
201600000110,Conducteur,Blessé léger,Masculin
201600000111,Conducteur,Indemne,Masculin
201600000111,Passager,Indemne,Féminin
201600000111,Passager,Indemne,Féminin
201600000111,Passager,Indemne,Masculin
201600000111,Passager,Indemne,Féminin
201600000111,Piéton,Tué,Féminin
201600000112,Passager,Indemne,Féminin
201600000112,Passager,Indemne,Féminin
201600000112,Conducteur,Blessé léger,Féminin
201600000113,Conducteur,Blessé léger,Masculin
201600000114,Conducteur,Blessé léger,Féminin
201600000114,Conducteur,Indemne,Masculin
201600000115,Conducteur,Blessé léger,Masculin
201600000116,Conducteur,Blessé léger,Masculin
201600000117,Conducteur,Indemne,Masculin
201600000117,Passager,Indemne,Masculin
201600000117,Passager,Indemne,Masculin
201600000117,Passager,Indemne,Masculin
201600000117,Passager,Blessé hospitalisé,Féminin
201600000118,Conducteur,Tué,Masculin
201600000119,Conducteur,Indemne,Masculin
201600000119,Passager,Tué,Masculin
201600000119,Conducteur,Blessé hospitalisé,Féminin
201600000119,Passager,Blessé hospitalisé,Masculin
201600000120,Conducteur,Indemne,Masculin
201600000120,Conducteur,Tué,Féminin
201600000121,Conducteur,Blessé hospitalisé,Masculin
201600000122,Conducteur,Blessé hospitalisé,Masculin
201600000122,Conducteur,Indemne,Masculin
201600000122,Conducteur,Blessé léger,Masculin
201600000123,Conducteur,Blessé hospitalisé,Masculin
201600000124,Conducteur,Indemne,Masculin
201600000124,Conducteur,Blessé hospitalisé,Masculin
201600000125,Conducteur,Blessé hospitalisé,Féminin
201600000126,Conducteur,Tué,Féminin
201600000126,Conducteur,Blessé hospitalisé,Masculin
201600000127,Conducteur,Blessé hospitalisé,Masculin
201600000127,Passager,Blessé hospitalisé,Féminin
201600000127,Conducteur,Blessé hospitalisé,Masculin
201600000127,Passager,Blessé hospitalisé,Masculin
201600000128,Conducteur,Blessé hospitalisé,Masculin
201600000129,Conducteur,Indemne,Masculin
201600000129,Passager,Indemne,Féminin
201600000129,Passager,Tué,Masculin
201600000130,Conducteur,Blessé hospitalisé,Masculin
201600000130,Conducteur,Indemne,Masculin
201600000131,Conducteur,Indemne,Masculin
201600000131,Piéton,Blessé hospitalisé,Masculin
201600000131,Piéton,Blessé léger,Féminin
201600000132,Conducteur,Blessé hospitalisé,Masculin
201600000132,Conducteur,Indemne,Masculin
201600000133,Piéton,Tué,Masculin
201600000134,Conducteur,Indemne,Masculin
201600000134,Passager,Indemne,Masculin
201600000134,Passager,Indemne,Masculin
201600000134,Passager,Indemne,Masculin
201600000134,Passager,Blessé hospitalisé,Féminin
201600000135,Conducteur,Indemne,Masculin
201600000135,Conducteur,Blessé hospitalisé,Masculin
201600000136,Conducteur,Indemne,Féminin
201600000136,Piéton,Blessé hospitalisé,Masculin
201600000137,Conducteur,Tué,Masculin
201600000138,Conducteur,Blessé hospitalisé,Masculin
201600000138,Conducteur,Indemne,Masculin
201600000139,Conducteur,Indemne,Masculin
201600000139,Conducteur,Blessé hospitalisé,Féminin
201600000140,Conducteur,Tué,Masculin
201600000141,Conducteur,Indemne,Féminin
201600000141,Piéton,Blessé hospitalisé,Masculin
201600000142,Conducteur,Blessé hospitalisé,Masculin
201600000143,Conducteur,Blessé hospitalisé,Masculin
201600000144,Conducteur,Blessé hospitalisé,Masculin
201600000145,Conducteur,Indemne,Masculin
201600000145,Conducteur,Blessé hospitalisé,Masculin
201600000146,Conducteur,Indemne,Masculin
201600000146,Conducteur,Blessé hospitalisé,Masculin
201600000146,Passager,Blessé hospitalisé,Masculin
201600000147,Conducteur,Blessé hospitalisé,Masculin
201600000147,Conducteur,Indemne,Masculin
201600000148,Conducteur,Indemne,Masculin
201600000148,Piéton,Blessé hospitalisé,Féminin
201600000149,Conducteur,Blessé hospitalisé,Féminin
201600000149,Conducteur,Indemne,Masculin
201600000150,Conducteur,Blessé hospitalisé,Féminin
201600000151,Conducteur,Indemne,Masculin
201600000151,Piéton,Blessé hospitalisé,Féminin
201600000152,Conducteur,Indemne,Masculin
201600000152,Piéton,Blessé hospitalisé,Masculin
201600000153,Conducteur,Blessé hospitalisé,Masculin
201600000154,Conducteur,Blessé hospitalisé,Masculin
201600000155,Conducteur,Tué,Masculin
201600000156,Conducteur,Indemne,Masculin
201600000156,Conducteur,Blessé hospitalisé,Masculin
201600000157,Conducteur,Indemne,Masculin
201600000157,Conducteur,Blessé hospitalisé,Masculin
201600000158,Conducteur,Blessé hospitalisé,Masculin
201600000159,Conducteur,Indemne,Féminin
201600000159,Conducteur,Blessé hospitalisé,Masculin
201600000160,Conducteur,Indemne,Masculin
201600000160,Piéton,Blessé hospitalisé,Féminin
201600000161,Conducteur,Indemne,Masculin
201600000161,Conducteur,Blessé hospitalisé,Masculin
201600000162,Conducteur,Indemne,Masculin
201600000162,Piéton,Tué,Féminin
201600000163,Conducteur,Blessé hospitalisé,Masculin
201600000163,Conducteur,Indemne,Masculin
201600000163,Conducteur,Indemne,Masculin
201600000164,Conducteur,Tué,Masculin
201600000164,Conducteur,Indemne,Masculin
201600000165,Conducteur,Indemne,Masculin
201600000165,Piéton,Blessé hospitalisé,Féminin
201600000166,Conducteur,Indemne,Masculin
201600000166,Conducteur,Blessé hospitalisé,Masculin
201600000167,Conducteur,Blessé hospitalisé,Masculin
201600000167,Conducteur,Indemne,Masculin
201600000168,Conducteur,Indemne,Masculin
201600000168,Piéton,Blessé hospitalisé,Féminin
201600000168,Piéton,Blessé hospitalisé,Féminin
201600000169,Conducteur,Blessé hospitalisé,Masculin
201600000169,Conducteur,Indemne,Féminin
201600000170,Conducteur,Indemne,Féminin
201600000170,Piéton,Blessé hospitalisé,Féminin
201600000171,Conducteur,Indemne,Masculin
201600000171,Conducteur,Blessé hospitalisé,Masculin
201600000172,Conducteur,Blessé hospitalisé,Masculin
201600000173,Conducteur,Blessé hospitalisé,Masculin
201600000174,Conducteur,Blessé hospitalisé,Masculin
201600000174,Conducteur,Indemne,Masculin
201600000175,Conducteur,Tué,Masculin
201600000175,Conducteur,Indemne,Masculin
