date,nb_tues,col3,an,mois,pop
janv-72,1343.0,17496.0,1972,janvier,51485953
févr-72,1140.0,17626.0,1972,fevrier,51485953
mars-72,1335.0,17891.0,1972,mars,51485953
avr-72,1281.0,17888.0,1972,avril,51485953
mai-72,1460.0,17884.0,1972,mai,51485953
juin-72,1466.0,17920.0,1972,juin,51485953
juil-72,1761.0,17815.0,1972,juillet,51485953
août-72,1537.0,17656.0,1972,août,51485953
sept-72,1585.0,17674.0,1972,septembre,51485953
oct-72,1726.0,17660.0,1972,octobre,51485953
nov-72,1500.0,17635.0,1972,novembre,51485953
déc-72,1553.0,17687.0,1972,decembre,51485953
janv-73,1308.0,17652.0,1973,janvier,51915873
févr-73,1072.0,17585.0,1973,fevrier,51915873
mars-73,1188.0,17438.0,1973,mars,51915873
avr-73,1447.0,17604.0,1973,avril,51915873
mai-73,1395.0,17539.0,1973,mai,51915873
juin-73,1393.0,17466.0,1973,juin,51915873
juil-73,1470.0,17270.0,1973,juillet,51915873
août-73,1484.0,17233.0,1973,août,51915873
sept-73,1616.0,17266.0,1973,septembre,51915873
oct-73,1482.0,17025.0,1973,octobre,51915873
nov-73,1490.0,17022.0,1973,novembre,51915873
déc-73,1248.0,16715.0,1973,decembre,51915873
janv-74,1189.0,16411.0,1974,janvier,52320725
févr-74,812.0,16164.0,1974,fevrier,52320725
mars-74,992.0,15979.0,1974,mars,52320725
avr-74,1035.0,15574.0,1974,avril,52320725
mai-74,1103.0,15294.0,1974,mai,52320725
juin-74,1328.0,15248.0,1974,juin,52320725
juil-74,1416.0,15195.0,1974,juillet,52320725
août-74,1366.0,15077.0,1974,août,52320725
sept-74,1335.0,14796.0,1974,septembre,52320725
oct-74,1233.0,14547.0,1974,octobre,52320725
nov-74,1239.0,14296.0,1974,novembre,52320725
déc-74,1401.0,14450.0,1974,decembre,52320725
janv-75,1270.0,14531.0,1975,janvier,52600000
févr-75,842.0,14561.0,1975,fevrier,52600000
mars-75,1031.0,14599.0,1975,mars,52600000
avr-75,925.0,14489.0,1975,avril,52600000
mai-75,1090.0,14476.0,1975,mai,52600000
juin-75,1229.0,14378.0,1975,juin,52600000
juil-75,1503.0,14465.0,1975,juillet,52600000
août-75,1355.0,14454.0,1975,août,52600000
sept-75,1214.0,14333.0,1975,septembre,52600000
oct-75,1283.0,14383.0,1975,octobre,52600000
nov-75,1187.0,14331.0,1975,novembre,52600000
déc-75,1149.0,14079.0,1975,decembre,52600000
janv-76,1237.0,14046.0,1976,janvier,52798338
févr-76,904.0,14108.0,1976,fevrier,52798338
mars-76,970.0,14047.0,1976,mars,52798338
avr-76,1012.0,14134.0,1976,avril,52798338
mai-76,1238.0,14282.0,1976,mai,52798338
juin-76,1369.0,14422.0,1976,juin,52798338
juil-76,1631.0,14550.0,1976,juillet,52798338
août-76,1431.0,14626.0,1976,août,52798338
sept-76,1279.0,14690.0,1976,septembre,52798338
oct-76,1354.0,14762.0,1976,octobre,52798338
nov-76,1195.0,14770.0,1976,novembre,52798338
déc-76,1117.0,14738.0,1976,decembre,52798338
janv-77,1181.0,14683.0,1977,janvier,53019005
févr-77,859.0,14638.0,1977,fevrier,53019005
mars-77,986.0,14654.0,1977,mars,53019005
